QID-DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
1-184,0,0,0,,,1
1-29,0,0,0,,,1
1-31,0,0,0,,,1
1-12,0,0,0,,,1
1-51,0,0,0,,,1
1-102,0,0,0,,,1
1-13,0,0,0,,,1
1-14,0,0,0,,,1
1-15,0,0,0,,,1
1-57,0,0,0,,,1
1-378,0,0,0,,,1
1-859,0,0,0,,,1
1-185,0,0,0,,,1
1-30,0,0,0,,,1
1-37,0,0,0,,,1
1-52,0,0,0,,,1
1-142,0,0,0,,,1
1-195,0,0,0,,,1
1-875,0,0,0,,,1
1-56,0,0,0,,,1
1-66,0,0,0,,,1
1-95,0,0,0,,,1
1-462,0,0,0,,,1
1-497,0,0,0,,,1
1-858,0,0,0,,,1
1-876,0,0,0,,,1
1-879,0,0,0,,,1
1-880,0,0,0,,,1
1-486,0,0,0,,,0
1-1,173.1857636503153,1.6349206349206349,39.221058405756025,,,0
2-12,0,0,0,,,1
2-15,0,0,0,,,1
2-184,0,0,0,,,1
2-858,0,0,0,,,1
2-51,0,0,0,,,1
2-102,0,0,0,,,1
2-202,0,0,0,,,1
2-14,0,0,0,,,1
2-52,0,0,0,,,1
2-380,0,0,0,,,1
2-746,0,0,0,,,1
2-859,0,0,0,,,1
2-948,0,0,0,,,1
2-285,0,0,0,,,1
2-390,0,0,0,,,1
2-391,0,0,0,,,1
2-442,0,0,0,,,1
2-497,0,0,0,,,1
2-643,0,0,0,,,1
2-856,0,0,0,,,1
2-857,0,0,0,,,1
2-877,0,0,0,,,1
2-864,0,0,0,,,1
2-658,0,0,0,,,1
2-486,0,0,0,,,0
2-1,319.02640672426503,3.3349206349206346,82.00509326759541,,,0
4-236,0,0,0,,,1
4-166,0,0,0,,,1
4-488,0,0,0,,,0
4-1,218.7609646109246,2.3492063492063493,56.83944342067285,,,0
8-48,0,0,0,,,1
8-122,0,0,0,,,1
8-20,0,0,0,,,1
8-58,0,0,0,,,1
8-196,0,0,0,,,1
8-354,0,0,0,,,1
8-360,0,0,0,,,1
8-197,0,0,0,,,1
8-999,0,0,0,,,1
8-1112,0,0,0,,,1
8-1005,0,0,0,,,1
8-492,0,0,0,,,0
8-1,674.5129742170175,6.59119769119769,160.1489471974679,,,0
9-21,0,0,0,,,1
9-22,0,0,0,,,1
9-550,0,0,0,,,1
9-534,0,0,0,,,0
9-1,109.3804823054623,1.492063492063492,36.48042073676896,,,0
10-259,0,0,0,,,1
10-405,0,0,0,,,1
10-302,0,0,0,,,1
10-436,0,0,0,,,1
10-437,0,0,0,,,1
10-438,0,0,0,,,1
10-998,0,0,0,,,1
10-1011,0,0,0,,,1
10-493,0,0,0,,,0
10-1,173.1857636503153,3.425396825396825,88.39592858072388,,,0
12-86,0,0,0,,,1
12-194,0,0,0,,,1
12-650,0,0,0,,,1
12-649,0,0,0,,,1
12-652,0,0,0,,,1
12-624,0,0,0,,,0
